Number_of_elements,Linked_list,Binary_search_tree
1000,0.03943,0.00232
2000,0.17663,0.00606
3000,0.42692,0.00949
4000,0.77358,0.01282
5000,1.18895,0.01564
6000,1.78866,0.02145
7000,2.38491,0.02177
8000,3.11716,0.02594
9000,3.94406,0.03367
10000,5.02737,0.03378
11000,6.01373,0.0403
12000,7.12652,0.04125
13000,8.83978,0.04809
14000,10.85005,0.05216
15000,11.87807,0.05804
16000,14.7994,0.06058
