Number_of_elements,Linked_list,Binary_search_tree
1000,9e-05,0.00028
2000,0.00024,0.00053
3000,0.00039,0.00098
4000,0.0008,0.00162
5000,0.00048,0.00146
6000,0.00084,0.00186
7000,0.0008,0.00196
8000,0.00088,0.00239
9000,0.00108,0.00257
10000,0.00138,0.00316
11000,0.00151,0.00367
12000,0.00156,0.0041
13000,0.00177,0.00428
14000,0.002,0.00512
15000,0.00234,0.00551
16000,0.0024,0.00588
